PROJECT INFO
File Path,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached.rvt
File Name,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached
Central File Path,"Error extracting central file path: File does not exist.
Parameter name: file"
Export by,m.cubero@karakusevic-carson.com
Export Date,2025-01-14
Export Time,18:53:01
DATA
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-4_Level 3,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 4
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-5_Level 4,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 5
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-5_Level 4,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 5
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-5_Level 4,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 5
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-6_Level 5,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 6
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-6_Level 5,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 6
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-6_Level 5,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 6
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-7_Level 6,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 7
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-7_Level 6,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 7
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-7_Level 6,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 7
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-8_Level 7,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 8
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-8_Level 7,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 8
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-8_Level 7,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-9_Level 8,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 9
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-9_Level 8,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 9
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-9_Level 8,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,NIA Check WIP,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,NIA Check WIP,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,NIA Check WIP,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-1_Level 0,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 1
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-1_Level 0,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 1
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-1_Level 0,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-2_Level 1,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 2
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-2_Level 1,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 2
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-2_Level 1,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 2
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-3_Level 2,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 3
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-3_Level 2,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 3
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-3_Level 2,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 3
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-4_Level 3,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 4
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-4_Level 3,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 4
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-4_Level 3,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 4
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-5_Level 4,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 5
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-5_Level 4,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 5
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-5_Level 4,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 5
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-6_Level 5,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 6
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-6_Level 5,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 6
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-6_Level 5,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 6
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-7_Level 6,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 7
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-7_Level 6,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 7
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-7_Level 6,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 7
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-8_Level 7,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 8
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-8_Level 7,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 8
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-8_Level 7,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9103-PLANNING-9_Level 8,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 9
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9103-PLANNING-9_Level 8,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 9
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9103-PLANNING-9_Level 8,False,NIA Check WIP,XX-9103-PLANNING - NIA Check - Phase 1B - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-1_Level 0,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 1
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-1_Level 0,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 1
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-1_Level 0,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-2_Level 1,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 2
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-2_Level 1,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 2
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-2_Level 1,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 2
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-3_Level 2,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 3
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-3_Level 2,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 3
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-3_Level 2,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 3
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-4_Level 3,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 4
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-4_Level 3,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 4
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-4_Level 3,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 4
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-5_Level 4,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 5
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-5_Level 4,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 5
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-5_Level 4,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 5
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-6_Level 5,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 6
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-6_Level 5,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 6
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-6_Level 5,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 6
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-7_Level 6,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 7
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-7_Level 6,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 7
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-7_Level 6,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 7
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-8_Level 7,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 8
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-8_Level 7,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 8
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-8_Level 7,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9104-PLANNING-9_Level 8,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 9
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9104-PLANNING-9_Level 8,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 9
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9104-PLANNING-9_Level 8,False,NIA Check WIP,XX-9104-PLANNING - NIA Check - Phase 2 - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 0 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 0 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 0 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,#_Site-Key Plan,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 1 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 1 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 1 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 2 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 2 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 2 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 3 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 3 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 3 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 4 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 4 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 4 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,ATPCV Level 5 - View Depth Unlimited,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,ATPCV Level 5 - View Depth Unlimited,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,ATPCV Level 5 - View Depth Unlimited,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 0,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 0,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 0,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 1,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 1,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 1,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 2,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 2,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 2,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 3,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 3,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 3,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 4,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 4,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 4,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,Level 5,False,Not View Template Assigned,Not in a sheet
1788778,Site-Family Name-Bike,True,False,AreaPlan,Level 5,False,Not View Template Assigned,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,AreaPlan,Level 5,False,Not View Template Assigned,Not in a sheet
